bowling_id,match_code,team_name,player_name,overs,runs_conceded,wickets,economy
169,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Mexico,kashigoud patil,0.0,0,0,0.0
170,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Mexico,devon ebersohn,0.0,0,0,0.0
171,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Mexico,gutierrez chavez,0.0,0,0,0.0
172,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Brazil,michel assuncao,0.0,0,0,0.0
173,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Brazil,william maximo,0.0,0,0,0.0
174,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Brazil,chrystian machado,0.0,0,0,0.0
175,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Brazil,gabriel oliveira,0.0,0,0,0.0
176,mex-vs-brazil-1st-match-mexico-t20i-tri-series-2026,Brazil,lucas maximo,0.0,0,0,0.0
177,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,France,upen shantu,3.0,11,2,3.7
178,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,France,jeremy martins,4.0,37,2,9.2
179,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,France,sirajullah khadim,2.0,11,0,5.5
180,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,France,teddy fleming,4.0,29,0,7.2
181,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,France,conrad greenshields,4.0,24,3,6.0
182,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,France,rahulkumar hashu,2.1,14,2,6.5
183,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,Portugal,noman amjad,2.0,15,0,7.5
184,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,Portugal,rahimgul naseri,3.0,38,1,12.7
185,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,Portugal,dawood ahmadzai,4.0,21,2,5.2
186,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,Portugal,usman khan,2.0,22,0,11.0
187,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,Portugal,mohammad khan rafah,2.0,21,1,10.5
188,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,Portugal,jamshid nasiri,2.0,10,0,5.0
189,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,France,gustav mckeon,0.0,0,0,0.0
190,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,France,nasibullah arab,0.0,0,0,0.0
191,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,France,christian roberts,0.0,0,0,0.0
192,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,France,zada sher,0.0,0,0,0.0
193,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,France,lingeswaran canessane,0.0,0,0,0.0
194,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,Portugal,dhavalkumar norotam,0.0,0,0,0.0
